properties.subDivision,Longitude,Latitude
IL,-89.18727,37.735383
KY,-84.566505,37.89751
MO,-89.545738,37.312606
TN,-89.676154,35.293786
KY,-83.740488,36.604739
AL,-86.809732,33.653019
IN,-86.101028,38.599218
AR,-89.882036,35.92825
KY,-85.376091,38.400978
AL,-86.614287,33.639865
IN,-87.158076,38.652544
AL,-86.683393,33.636819
MO,-89.583407,37.302693
KY,-84.898072,38.170336
IL,-88.937733,37.998021
KY,-84.715381,38.052961
IN,-86.912588,38.674761
GA,-84.81971,34.207437
KY,-83.703956,36.612996
TN,-89.783157,35.449507
KY,-84.310946,37.736914
AR,-89.917805,35.888843
GA,-84.455515,34.465047
AL,-86.805387,33.607706
KY,-84.538006,37.95615
GA,-84.759256,34.209851
KY,-84.320348,37.776133
KY,-84.276096,37.731903
KY,-83.704607,36.76434
AL,-86.647334,33.595974
IL,-88.377109,38.379374
AL,-85.81872,33.718806
NC,-83.80311,35.326236
KY,-84.572955,38.005473
KY,-85.17952,38.370342
AL,-86.766159,33.589565
KY,-84.5301,37.97749
AL,-86.69671,33.58838
GA,-84.786964,34.176216
GA,-84.824462,34.151222
TN,-89.731713,35.206307
KY,-84.830089,38.19804
MS,-88.478259,33.980329
GA,-85.04167,34.009711
KY,-84.500037,37.96948
IN,-87.511166,38.66513
TN,-83.606235,35.986206
NC,-83.837251,35.202302
GA,-84.763329,34.174236
MS,-89.452225,34.750544
IN,-86.478688,38.724724
TN,-89.726924,35.158248
KY,-84.520717,38.001188
AL,-86.477874,33.576372
MO,-89.642748,37.369278
KY,-85.299392,38.45751
AL,-87.826674,33.703996
AL,-86.282415,33.594057
AL,-86.892604,33.561647
MO,-89.970188,36.572557
KY,-84.535563,38.025645
IN,-87.506719,38.689097
AL,-86.521901,33.561363
KY,-84.553138,38.04736
IL,-89.325173,37.788783
TN,-89.690743,35.046564
AL,-85.826457,33.669315
AL,-86.748478,33.543862
KY,-84.460166,37.985466
TN,-83.570546,36.450686
AL,-86.82771,33.541176
TN,-83.588387,35.798629
KY,-83.768906,37.139483
TN,-89.793856,35.205219
KY,-84.676491,38.157878
AL,-86.799447,33.53381
MO,-90.0334,36.236088
AL,-86.694829,33.533232
IL,-88.910872,38.155516
TN,-83.568036,35.865734
TN,-83.573947,35.827708
AL,-86.1247,33.587319
KY,-84.503094,38.042378
AL,-86.722724,33.524608
TN,-89.793567,35.171897
KY,-84.526651,38.066943
KY,-84.461471,38.016222
MS,-89.018642,34.252622
GA,-83.964501,34.871365
AL,-88.110127,33.752759
GA,-84.743488,34.119006
TN,-89.733124,35.048403
KY,-84.386907,37.962316
TN,-83.545666,35.865085
KY,-84.476204,38.040775
MO,-89.971671,36.803355
TN,-89.794706,35.143282
AL,-86.787691,33.509681
TN,-83.553372,35.784438
KY,-84.454231,38.034103
AL,-86.808039,33.504807
AR,-90.01222,35.698541
AL,-86.84734,33.500148
IN,-85.79215,38.685588
AL,-85.786666,33.628809
AL,-86.908181,33.499353
AL,-86.87847,33.495117
KY,-84.415427,38.01953
IN,-87.314075,38.779928
KY,-84.477857,38.070831
TN,-89.836807,35.17889
NC,-83.819568,35.03536
TN,-89.911593,35.340506
TN,-83.49351,36.11461
AL,-85.828266,33.607049
TN,-89.861745,35.205257
KY,-84.424088,38.042555
TN,-89.80834,35.093484
AL,-86.840144,33.480104
IL,-87.700372,38.726941
MO,-89.90391,37.105002
KY,-84.484445,38.101612
GA,-84.473968,34.251765
TN,-89.796511,35.044608
TN,-89.864897,35.169445
TN,-83.517258,35.712219
IL,-89.236424,37.998936
GA,-84.724309,34.062577
AL,-86.909931,33.464274
AL,-86.818287,33.460451
TN,-89.840754,35.098887
GA,-84.54949,34.173432
KY,-84.556205,38.183698
GA,-84.509092,34.198034
TN,-89.895877,35.185351
TN,-89.913513,35.217676
TN,-89.826692,35.048562
GA,-84.452264,34.235829
AL,-86.985855,33.45095
TN,-83.442557,36.040227
AL,-86.790286,33.445982
AL,-86.827632,33.445967
TN,-89.859168,35.09539
AL,-85.595726,33.62504
TN,-89.891472,35.151328
GA,-84.753871,34.011247
GA,-84.654015,34.076725
IN,-86.517934,38.86057
MS,-89.7948,34.964901
TN,-89.829416,35.019974
TN,-83.47167,35.72672
KY,-83.987632,37.697001
AL,-86.707079,33.429036
TN,-89.88591,35.107605
AL,-86.952409,33.427591
TN,-89.861167,35.050288
GA,-84.675858,34.035102
TN,-89.920304,35.149388
GA,-83.759526,34.955976
MS,-88.561967,33.829005
AR,-90.17727,36.382352
AL,-86.761876,33.410761
GA,-84.55304,34.10949
TN,-83.392121,36.178211
KY,-84.536083,38.227479
AL,-86.805837,33.407291
GA,-84.70491,34.000205
GA,-84.575737,34.086578
GA,-84.359024,34.253833
TN,-89.90719,35.091041
GA,-84.52463,34.122372
TN,-89.885764,35.049522
TN,-89.97417,35.220827
IL,-88.926468,38.315523
TN,-89.953162,35.165064
TN,-89.905201,35.064907
GA,-84.611369,34.047922
GA,-84.593244,34.060282
AL,-86.969166,33.395778
MS,-89.856911,34.961612
IL,-88.956147,38.314129
TN,-89.945605,35.114704
KY,-84.559902,38.276483
GA,-84.41866,34.175357
AL,-86.739723,33.384266
KY,-84.212367,38.007276
TN,-89.931709,35.083925
GA,-84.8022,33.91114
AL,-86.804758,33.380452
TN,-89.961969,35.133305
AL,-86.082639,33.439974
IL,-88.079318,38.730898
GA,-84.522444,34.086483
IN,-85.467923,38.7234
GA,-84.842275,33.867816
TN,-83.333962,36.108857
IN,-86.039868,38.88159
AL,-86.998221,33.362789
TN,-89.992695,35.134062
GA,-84.701912,33.940251
TN,-89.950741,35.051927
AL,-86.8554,33.356812
GA,-84.48315,34.086993
TN,-90.032672,35.21154
TN,-89.935656,35.020224
TN,-83.323228,36.206453
GA,-84.599052,34.002243
TN,-89.984598,35.105232
MO,-89.97632,37.30567
GA,-85.152336,33.687691
AL,-86.632255,33.348849
GA,-84.756926,33.89172
NC,-83.446442,35.423632
TN,-90.014186,35.143467
GA,-84.56067,34.013562
GA,-83.976959,34.525673
AL,-86.918645,33.337176
AL,-86.782633,33.33481
GA,-84.528221,34.024632
TN,-90.031524,35.137951
MS,-89.936119,34.959583
IL,-89.382277,38.079823
KY,-85.125071,38.65089
TN,-83.287879,36.231255
GA,-85.029324,33.720803
AL,-87.000144,33.329767
GA,-84.558487,33.982471
TN,-83.277046,36.143238
TN,-90.00856,35.054124
KY,-84.831379,38.527657
IN,-85.402792,38.775361
GA,-84.491219,34.017384
TN,-83.260063,36.222465
GA,-84.575333,33.952435
TN,-90.007943,35.020536
MS,-89.50903,34.362188
GA,-84.194207,34.23912
TN,-90.024728,35.037385
TN,-90.056318,35.096647
KY,-84.27707,38.192412
GA,-84.22029,34.20881
GA,-84.939074,33.72629
MS,-89.991321,34.96221
IL,-88.490314,38.679365
KY,-83.316491,36.817244
GA,-84.358087,34.082351
GA,-84.037717,34.363484
TN,-90.058735,35.063701
GA,-84.900504,33.733176
TN,-90.027738,35.004862
AL,-86.852064,33.280243
GA,-84.575376,33.9234
GA,-84.041684,34.354985
GA,-84.380857,34.057458
GA,-84.671374,33.858486
GA,-84.426697,34.022803
MS,-89.555496,34.364863
MS,-89.998754,34.933003
MS,-90.017816,34.963064
AL,-87.098725,33.278793
KY,-83.858025,37.839817
GA,-84.251574,34.142961
GA,-84.463301,33.979578
AL,-86.812164,33.262701
MS,-88.999692,33.899115
GA,-84.626015,33.865749
GA,-84.512181,33.936544
AR,-90.136709,35.153138
IN,-85.875947,38.958409
IN,-87.146076,39.038269
NC,-83.315271,35.46183
IN,-85.83715,38.958904
TN,-83.201046,35.951206
GA,-84.275934,34.091993
AL,-86.34991,33.264543
GA,-84.089304,34.253461
GA,-84.333522,34.045263
GA,-84.60163,33.855584
GA,-85.079376,33.599151
GA,-84.342995,34.035378
GA,-83.762915,34.594273
MS,-89.982223,34.824404
